Consumer Price Index for All Urban Consumers (CPI-U),,,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Series Id:,CUUR0000AA0,,,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,,,
Series Title:,"All items - old base in U.S. city average, all urban consumers, not seasonally adjusted",,,,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,,,
Item:,All items - old base,,,,,,,,,,,,,
Base Period:,1967=100,,,,,,,,,,,,,
Years:,1997 to 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,HALF1,HALF2
1997,476.7,478.2,479.3,479.7,479.6,480.2,480.7,481.6,483.0,484.1,483.9,483.2,479.0,482.8
1998,484.2,484.9,485.8,486.8,487.7,488.2,488.8,489.6,490.1,491.3,491.3,491.0,486.3,490.4
1999,492.3,492.9,494.4,497.8,497.7,497.9,499.2,500.7,502.9,503.9,504.1,504.1,495.5,502.5
2000,505.8,508.7,512.8,513.2,513.6,516.5,517.5,517.6,520.3,521.2,521.5,521.1,511.8,519.9
2001,524.5,526.7,528.0,529.9,532.2,533.3,531.6,531.8,534.0,532.2,531.3,529.2,529.1,531.7
2002,530.6,532.7,535.5,538.6,538.5,538.9,539.5,541.2,542.1,543.2,543.1,541.9,535.8,541.8
2003,544.2,548.5,551.8,550.5,549.7,550.4,550.9,553.0,554.7,554.3,552.7,552.1,549.2,553.0
2004,554.9,557.9,561.5,563.2,566.4,568.2,567.5,567.6,568.7,571.9,572.2,570.1,562.0,569.7
2005,571.2,574.5,579.0,582.9,582.4,582.6,585.2,588.2,595.4,596.7,592.0,589.4,578.8,591.2
2006,593.9,595.2,598.6,603.5,606.5,607.8,609.6,610.9,607.9,604.6,603.6,604.5,600.9,606.9
2007,606.348,609.594,615.145,619.140,622.921,624.129,623.970,622.827,624.543,625.879,629.598,629.174,616.213,625.999
2008,632.301,634.139,639.636,643.515,648.933,655.474,658.915,656.284,655.376,648.758,636.332,629.751,642.333,647.569
2009,632.491,635.637,637.182,638.771,640.616,646.121,645.096,646.544,646.948,647.570,648.028,646.887,638.470,646.845
2010,649.098,649.259,651.925,653.059,653.564,652.926,653.066,653.966,654.346,655.162,655.438,656.563,651.638,654.757
2011,659.692,662.943,669.409,673.717,676.887,676.162,676.762,678.628,679.658,678.258,677.684,676.014,669.802,677.834
2012,678.988,681.977,687.157,689.232,688.423,687.415,686.294,690.113,693.192,692.923,689.639,687.782,685.532,689.991
2013,689.818,695.467,697.284,696.561,697.798,699.473,699.751,700.593,701.406,699.601,698.171,698.110,696.067,699.605
2014,700.710,703.300,707.830,710.162,712.642,713.970,713.691,712.498,713.035,711.243,707.402,703.393,708.102,710.210
2015,700.083,703.122,707.306,708.746,712.357,714.855,714.902,713.890,712.777,712.458,710.952,708.524,707.745,712.251
2016,709.695,710.278,713.339,716.719,719.619,721.982,720.816,721.476,723.210,724.113,722.986,723.224,715.272,722.638
2017,727.439,729.727,730.320,732.486,733.110,733.775,733.269,735.466,739.359,738.893,738.912,738.477,731.143,737.396
2018,742.499,745.866,747.554,750.524,753.647,754.848,754.898,755.317,756.194,757.532,754.992,752.584,749.156,755.253
2019,754.017,757.204,761.477,765.507,767.138,767.291,768.571,768.533,769.136,770.895,770.482,769.781,762.106,769.566
2020,772.768,774.886,773.199,768.029,768.044,772.245,776.152,778.599,779.684,780.008,779.531,780.263,771.529,779.040
2021,783.584,787.872,793.455,799.975,806.387,813.879,817.796,819.485,821.710,828.538,832.609,835.168,797.525,825.884
2022,842.196,849.887,861.235,866.042,875.589,887.615,887.511,887.197,889.104,892.711,891.809,889.073,863.761,889.568
2023,896.182,901.182,904.167,908.742,911.031,913.970,915.714,919.713,921.999,921.645,919.789,918.875,905.879,919.623
2024,923.881,929.598,935.609,939.251,940.811,941.129,942.221,942.988,944.502,945.589,945.076,945.413,935.047,944.298
2025,951.601,955.829,957.974,960.958,962.965,966.248,967.707,970.489,972.957,,,,959.263,
